id,name,address,pname,pcode,cityname,citycode,adname,adcode,tel,type,photos,timestamp,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84,大类,中类,小类
B02190AOVB,梁山京九机械学校(南门),337省道北50米梁山县工商行政管理局杨营工商所附近,山东省,370000,济宁市,537,梁山县,370832,[],通行设施;临街院门;临街院门,[],2022-05-26T22:19:39,115.950897,35.819161,115.94537731144474,35.819344185236154,通行设施,临街院门,临街院门
B02190AY2S,彩虹花园(西门),新华路,山东省,370000,济宁市,537,任城区,370811,[],通行设施;临街院门;临街院门,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/0fd57fecfd5273fd1da5c5dd80e9f1ec'}]",2022-05-26T22:19:03,116.5575,35.413792,116.5521741881692,35.414207767459544,通行设施,临街院门,临街院门
B02190BETA,运河东区(北2门),神道路海港小区,山东省,370000,济宁市,537,任城区,370811,[],通行设施;临街院门;临街院门,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/8384808bcee16f7f206cdfdb6d6a08c3'}]",2022-05-26T22:19:02,116.576077,35.404653,116.57077964088916,35.405101614439985,通行设施,临街院门,临街院门
B02190AS2M,红星书院街住宅小区(西南门),书院街,山东省,370000,济宁市,537,曲阜市,370881,[],通行设施;临街院门;临街院门,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/567a4a06a3102e78f3957fc6'}]",2022-05-26T22:18:52,116.985288,35.597935,116.979624811798,35.59810915129966,通行设施,临街院门,临街院门
B02190AOUP,佛都花园1期(北门),圣泽大街608,山东省,370000,济宁市,537,汶上县,370830,[],通行设施;临街院门;临街院正门,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/59df1cd3f3e3b73d519b59c3b857b48a'}]",2022-05-26T22:18:50,116.506242,35.717933,116.50073392270885,35.71803050596754,通行设施,临街院门,临街院正门
B02190AY8X,黄家街教堂(西门),县前街与黄家街和平路东南20米,山东省,370000,济宁市,537,任城区,370811,[],通行设施;临街院门;临街院正门,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/c3773eeef5bf7aee94de7ab2d0691144'}]",2022-05-26T22:18:47,116.576637,35.40958,116.57133968605092,35.41002506478042,通行设施,临街院门,临街院正门
B02190AR0P,汶上宝相寺景区(东3门),宝塔路与宝相寺路交叉口西50米,山东省,370000,济宁市,537,汶上县,370830,[],通行设施;临街院门;临街院门,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/9c3ba7a668197e0d786abf28b3b61d77'}]",2022-05-26T22:18:37,116.489366,35.731999,116.48379584378608,35.732040074905456,通行设施,临街院门,临街院门
B0FFKDJ8J0,文庙(西门),南马道西街与半壁街中山北路东20米,山东省,370000,济宁市,537,曲阜市,370881,[],通行设施;临街院门;临街院门,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/fa650d982869952e9911ec9cc4346ec8'}]",2022-05-26T22:14:40,116.989639,35.59282,116.98395804362514,35.592984194823,通行设施,临街院门,临街院门
B0HBMZL932,峄山粮油议价购销站(东南门),官山路与高明山路交叉口东120米,山东省,370000,济宁市,537,邹城市,370883,[],通行设施;临街院门;临街院门,[],2022-05-26T22:14:14,117.004785,35.302742,116.9990700803844,35.303084781690835,通行设施,临街院门,临街院门
B0FFK8BUXE,济宁市实验中学(南门),建设北路与机电一路交叉口东北240米,山东省,370000,济宁市,537,任城区,370811,[],通行设施;临街院门;临街院门,[],2022-05-26T22:13:50,116.597984,35.43606,116.59269140283384,35.4364934049488,通行设施,临街院门,临街院门
B0HA15FVEM,河北衡水中学微山分校(南门),[],山东省,370000,济宁市,537,微山县,370826,[],通行设施;临街院门;临街院门,[],2022-05-26T22:13:11,117.103057,34.850807,117.09712655557126,34.85146435630832,通行设施,临街院门,临街院门
B0FFIB4IOW,金起点助教中心(北门),东门大街54号附近,山东省,370000,济宁市,537,曲阜市,370881,[],通行设施;临街院门;临街院正门,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/5a0d8f16f2e99d5ca9f7fa73a780a75e'}]",2022-05-26T21:54:37,116.996732,35.596337,116.99102043188084,35.596477736209664,通行设施,临街院门,临街院正门
B0FFFGTSCR,越秀园小区(西1门),皇天大道,山东省,370000,济宁市,537,任城区,370811,[],通行设施;临街院门;临街院门,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/c03c36cc9760a5e5124d6589235975d8'}]",2022-05-26T21:46:10,116.580266,35.399924,116.57497271853354,35.40038019201578,通行设施,临街院门,临街院门
B0HGZC2NTH,山东华鹏电气有限公司(北门),海川路与山博路交叉路口往东约120米,山东省,370000,济宁市,537,任城区,370811,[],通行设施;临街院门;临街院门,[],2022-05-26T21:39:01,116.703585,35.395873,116.6980825452174,35.39619030958473,通行设施,临街院门,临街院门
B0G0O5VY8H,山东联合集团(西北门),发展路与兴唐路交叉口西南方向140米,山东省,370000,济宁市,537,任城区,370811,[],通行设施;临街院门;临街院门,[],2022-05-26T21:38:10,116.500088,35.300551,116.49460082339412,35.3009199350924,通行设施,临街院门,临街院门
B0H255NLHF,育苗托管中心(东门),武胜桥南街与白家大院街交叉口南40米,山东省,370000,济宁市,537,任城区,370811,[],通行设施;临街院门;临街院门,[],2022-05-26T21:36:24,116.585116,35.399419,116.5798257062852,35.39987883620016,通行设施,临街院门,临街院门
B0FFKFHHB5,圣德层高(东门),育才西巷与洸河路交叉处南40米,山东省,370000,济宁市,537,任城区,370811,[],通行设施;临街院门;临街院门,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/8650c70ed3abcd8f7a74267510354f3c'}]",2022-05-26T21:36:08,116.620431,35.420914,116.6151210227484,35.42134857351261,通行设施,临街院门,临街院门
B0FFM8QS6M,文城时代三期(东门),文城时代步行街与建设路交叉口南280米,山东省,370000,济宁市,537,微山县,370826,[],通行设施;临街院门;临街院门,[],2022-05-26T21:32:49,117.123077,34.816713,117.11715432295492,34.817418826135835,通行设施,临街院门,临街院门
B0FFK09PW2,天耀种业(东南门),崇文大道与105国道交叉口北200米,山东省,370000,济宁市,537,金乡县,370828,[],通行设施;临街院门;临街院门,[],2022-05-26T21:29:55,116.287362,35.083138,116.28185216935316,35.08371181920365,通行设施,临街院门,临街院门
B0GKHAYTY9,三羊种植园(东北门),S319与S321和平路东南方向170米,山东省,370000,济宁市,537,任城区,370811,[],通行设施;临街院门;临街院门,[],2022-05-26T21:29:15,116.656345,35.464357,116.65095685036526,35.46470560664822,通行设施,临街院门,临街院门
B0FFJSTKZX,北京国际艺术创作幼儿园(南门),龙兴路与济安桥路交口东60米,山东省,370000,济宁市,537,任城区,370811,[],通行设施;临街院门;临街院门,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/33bc32bb555d72bb3846b68a538deea7'}]",2022-05-26T21:28:09,116.566713,35.423658,116.561402157724,35.42408012004257,通行设施,临街院门,临街院门
B0FFM58NOR,泗水县实验幼儿园清华苑分园(东门),泉福路,山东省,370000,济宁市,537,泗水县,370831,[],通行设施;临街院门;临街院门,[],2022-05-26T21:27:10,117.268781,35.668025,117.26289662915563,35.668105707899336,通行设施,临街院门,临街院门
B0FFJT2AQM,佰诚希望幼儿园(北门),建设北路6号附近,山东省,370000,济宁市,537,嘉祥县,370829,[],通行设施;临街院门;临街院门,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/fc8a7fe51feb928d0d995c678187bc53'}]",2022-05-26T21:26:10,116.335539,35.406715,116.32990377964312,35.406883831754485,通行设施,临街院门,临街院门
B0FFIOBZIC,和谐佳苑(北1门),政和路南50米,山东省,370000,济宁市,537,汶上县,370830,[],通行设施;临街院门;临街院门,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/b19a188c0bc552d027596e406b8aa899'}]",2022-05-26T21:23:18,116.494706,35.710809,116.48915718019494,35.710875052145674,通行设施,临街院门,临街院门
B0FFJ9E6LG,津浦北街小区(北2门),运河路辅路,山东省,370000,济宁市,537,任城区,370811,[],通行设施;临街院门;临街院门,[],2022-05-26T21:22:12,116.592577,35.393362,116.58728923564448,35.39382982057455,通行设施,临街院门,临街院门
B0FFJT1HKJ,丰林园烤肉城(东门),建设北路57号临近,山东省,370000,济宁市,537,嘉祥县,370829,[],通行设施;临街院门;临街院门,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/654ffb48daa511652fb5b2a7c9bfc373'}]",2022-05-26T21:22:02,116.336852,35.410635,116.33121356754972,35.41079811051145,通行设施,临街院门,临街院门
B0FFIDLED9,车轮住宅小区(西7门),琵琶山后街与琵琶山路交叉口东南100米不远处,山东省,370000,济宁市,537,任城区,370811,[],通行设施;临街院门;临街院门,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/af70a89546be25ad8e5d0149f2d08b70'}, {'title': [], 'url': 'http://store.is.autonavi.com/showpic/5680fd6da3104d32a825259a'}]",2022-05-26T21:20:06,116.610938,35.411887,116.6056400428066,35.41233606559413,通行设施,临街院门,临街院门
B0FFFZD0K6,瑞芝生物(东北门),333省道南50米,山东省,370000,济宁市,537,梁山县,370832,[],通行设施;临街院门;临街院门,[],2022-05-26T21:16:30,116.258391,35.72969,116.2528371050143,35.72976703558208,通行设施,临街院门,临街院门
B02190BES7,洸河社区(东2门),光河路新体育馆西路141号,山东省,370000,济宁市,537,任城区,370811,[],通行设施;临街院门;临街院门,"[{'title': [], 'url': 'http://store.is.autonavi.com/showpic/209efd7f4fa7d90fdb7a2b3f349625f8'}]",2022-05-26T21:15:49,116.5862,35.420979,116.58090802204204,35.421421638229866,通行设施,临街院门,临街院门
