id,name,address,pname,pcode,cityname,citycode,adname,adcode,tel,type,photos,timestamp,lon_gcj02,lat_gcj02,lon_wgs84,lat_wgs84,大类,中类,小类
B0FFL34NJU,济宁玄门阁,济邹路聚德佳苑东北侧约200米,山东省,370000,济宁市,537,任城区,370811,[],风景名胜;风景名胜相关;旅游景点,[],2022-06-23T19:32:42,116.633576,35.391267,116.6282470038845,35.39171106865572,风景名胜,风景名胜相关,旅游景点
B0FFL05YUE,慈云古庙,济宁经济开发区,山东省,370000,济宁市,537,嘉祥县,370829,[],风景名胜;风景名胜;寺庙道观,[],2022-06-23T19:24:45,116.447329,35.454157,116.44165811167532,35.45425438732983,风景名胜,风景名胜,寺庙道观
B0FFI4UP6V,金龙湾文化旅游小镇,金曼克大道,山东省,370000,济宁市,537,金乡县,370828,0537-8989666,风景名胜;风景名胜;风景名胜,"[{'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/2ad39e0211583ce807b8b31f9d0b35ba'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/e6668cb917c712cc4d10c4a80dc8117c'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/3be8b2ef50f41bff3b5b01972d929296'}]",2022-06-23T18:46:19,116.292356,35.065266,116.2868408069548,35.06585275962405,风景名胜,风景名胜,风景名胜
B0FFIWKAI0,文庙-下马碑,南马道西街89临近,山东省,370000,济宁市,537,曲阜市,370881,[],风景名胜;风景名胜相关;旅游景点,[],2022-06-23T18:14:01,116.989698,35.591503,116.9840169333308,35.59166779078734,风景名胜,风景名胜相关,旅游景点
B0FFLA7BRI,程广泉纪念室,红星中路40号(渔山派出所六楼),山东省,370000,济宁市,537,任城区,370811,[],风景名胜;风景名胜;纪念馆,"[{'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/37194ad99b9f69000ea56e1c97e45e2b'}]",2022-06-23T18:07:03,116.579953,35.41453,116.57465802044442,35.41497385287797,风景名胜,风景名胜,纪念馆
B0FFHWTQ4I,三圣堂,南阳镇北田家岛,山东省,370000,济宁市,537,微山县,370826,[],风景名胜;风景名胜相关;旅游景点,[],2022-06-23T17:41:51,116.767653,35.017432,116.7621224040292,35.01810137507638,风景名胜,风景名胜相关,旅游景点
B02190BDIE,基督教新恩堂,中御桥北路74号,山东省,370000,济宁市,537,兖州区,370812,[],风景名胜;风景名胜;教堂,"[{'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/567a5f3da3102e78f3977539'}]",2022-06-23T16:52:42,116.828397,35.565254,116.82288831994086,35.565501450579674,风景名胜,风景名胜,教堂
B0FFJ0EF8I,皇元圣制,亚圣路1498号孟庙孟府内,山东省,370000,济宁市,537,邹城市,370883,[],风景名胜;风景名胜相关;旅游景点,[],2022-06-23T16:38:15,116.974245,35.389759,116.96864863345658,35.39011381631658,风景名胜,风景名胜相关,旅游景点
B0FFIWM20G,小孟镇和谐湖景区,小孟镇河庄村,山东省,370000,济宁市,537,兖州区,370812,[],风景名胜;风景名胜相关;旅游景点,"[{'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/8b3564ed87c4168acdbe2019d56503f9'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/6731e4c851b258e92639ad459e9d8325'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/ff86ab7eae76365b27971b61e5875d2e'}]",2022-06-23T15:27:13,116.705042,35.694991,116.6995053284588,35.695112025968164,风景名胜,风景名胜相关,旅游景点
B0FFFE8LPR,泗水仲庙遗址公园(装修中),文化路附近,山东省,370000,济宁市,537,泗水县,370831,[],风景名胜;公园广场;公园,"[{'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/b0df65a9ecb9ee5281635c99c890b39e'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/567a5dd2a3102e78f3971ef1'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/567a5dd2a3102e78f3971eef'}]",2022-06-23T15:20:41,117.286979,35.659099,117.2810658890284,35.659165616165055,风景名胜,公园广场,公园
B0FFHCW3O0,盘龙岛,滨湖镇西部微山湖红荷生态区景区内,山东省,370000,济宁市,537,微山县,370826,[],风景名胜;风景名胜相关;旅游景点,"[{'provider': [], 'title': [], 'url': 'http://aos-cdn-image.amap.com/sns/ugccomment/3e82381f-7b3d-4670-b8bc-3888e5102a4e.jpg'}, {'provider': [], 'title': [], 'url': 'http://aos-cdn-image.amap.com/sns/ugccomment/6cb58d12-8768-4f5f-9c03-58a7ce4b24be.jpg'}, {'provider': [], 'title': [], 'url': 'http://store.is.autonavi.com/showpic/d0a8cfa501e96d8c6a3d150c86bd846b'}]",2022-06-23T15:20:10,116.85137,35.098638,116.84594808080789,35.099346337616325,风景名胜,风景名胜相关,旅游景点
